PSU,DistOsset,DistAbkh
101001,45111.84351,257953.5057
101005,44570.5105,257345.6073
101015,43662.09008,256703.2745
101017,42801.72193,256035.3789
104001,44538.68063,257863.8799
201029,42578.38136,255813.043
202014,40922.64026,253514.9246
202016,40756.13117,252885.7004
202051,41662.45846,254396.7086
202069,41202.6821,249480.8831
302036,38826.05331,250925.3997
302046,37718.57865,250181.3709
302053,40852.36286,252061.3163
302058,37732.11405,250174.9835
403025,39528.59926,253350.0591
403033,37722.75442,252343.4954
403057,34596.44829,249260.1942
403070,39539.44997,253371.4261
403084,39285.36151,252668.5952
403085,39265.07146,252587.707
503020,39490.93114,252618.0513
503065,39677.70034,252713.8331
503066,39551.50441,252688.6067
603010,40581.67408,253685.9226
603011,41030.26453,254381.9437
603029,40331.90166,253922.9471
603030,40807.73613,254513.6305
603069,40485.86343,253327.5522
704008,46013.79204,259131.7486
704012,46964.35963,260066.5541
704025,53664.97625,267454.0032
805047,47865.88685,262379.5874
805051,47303.40604,262055.8738
805052,47857.0634,262415.4074
805053,47810.65174,262508.5234
805055,47084.63646,261897.9624
805056,46889.63343,261788.7612
805062,46119.32457,261108.5531
805074,46117.43641,261192.7843
905002,44831.27236,258900.2398
905014,46371.61573,260077.3896
907025,43973.21648,257636.6328
1005029,48085.69501,262443.2637
1005030,49035.61346,262973.5015
1005031,48566.40052,262501.9864
1005034,49565.99128,263760.2474
1006111,50307.19053,264823.2243
1106013,47142.99072,262883.013
1106016,47561.80417,263590.0077
1206033,48189.95436,263450.7067
1206047,48387.301,263665.4363
1206052,49257.62534,264562.0474
1206082,50291.86953,265347.0273
1206083,50466.08914,265796.7358
1206092,52025.98502,267054.123
1206098,51453.40875,265985.8772
1206100,51786.80758,266461.2877
1206112,49930.34007,264456.2696
1306081,55430.15537,273583.0495
1306088,52802.57306,268086.9955
1306089,51959.29858,267339.8019
1321063,62146.97179,280309.7451
1407001,43226.50238,256729.0985
1407002,43519.1818,257143.041
1407010,42940.00079,257035.6449
1407021,43832.53845,257939.0924
1407028,43365.26169,257316.0568
1407037,43200.20312,257201.211
1407039,42122.61037,256881.1606
1507013,42122.25439,256153.9347
1508010,41549.39389,255382.2654
1508025,41490.05812,255787.4626
1508026,41061.39712,255351.133
1508027,41168.05116,255321.9676
1608036,37668.10476,252696.8879
1608045,36821.3405,252576.8744
1608049,36788.06776,252367.7105
1709007,41302.40328,256292.5341
1709008,41368.70736,256518.7298
1709009,41366.07929,256517.4592
1709024,40769.50999,255579.9144
1709025,40328.35766,255314.1128
1709026,40309.17115,255300.5822
1709029,40046.66011,255213.9811
1809031,39360.13393,254628.5978
1809034,39273.87226,254394.2893
1809039,38724.27013,254178.1307
1809040,38949.92353,254432.8922
1809044,37984.00027,253725.0997
1809047,37296.26264,253370.9926
1809048,37307.45589,253378.5419
1809050,37856.31646,253944.7484
1809056,37608.09866,253919.2342
1809093,39251.05332,254398.3309
1909061,37544.79212,254283.8099
1909068,36715.91467,254136.5422
1909079,38028.06745,255601.1494
1909084,37668.0792,255293.6366
2010012,35602.80259,253130.5323
2010021,35283.54517,253731.1611
2010023,34570.4683,253966.7563
2010032,36234.22273,254021.6778
2010110,38266.94237,255588.0065
2110037,36317.13601,254397.3845
2110044,36459.68064,254732.1803
2110051,36188.01905,254792.3204
2110053,35551.07059,253967.648
2210084,36842.66246,254536.0274
2210088,37608.09839,255217.9107
2210101,38316.29797,255776.7983
2210104,38786.97221,256391.575
2311016,67138.56499,289483.5381
2311046,97998.90895,319438.8012
2412001,109634.8344,340362.5818
2412002,110668.0994,341372.4045
2412006,93877.11966,324423.9257
2412009,96307.57606,326900.6209
2412019,106791.7994,337494.6621
2412023,110490.2168,341235.2173
2412028,115274.0745,346039.7713
2412029,116978.745,347747.3725
2412049,111268.0022,342010.3402
2513010,129658.3504,360429.6814
2513011,128702.5167,359467.2866
2513034,123381.2921,343330.315
2615021,132049.314,360750.0825
2615022,131410.8261,360422.7962
2615023,129346.7301,358143.1308
2615025,124252.6454,354016.4755
2716001,102509.7821,331010.5853
2717012,78396.91749,308888.46
2817038,72670.5562,302842.6369
2818001,53143.55401,283441.0191
2818003,51377.63334,281605.9285
2818025,50711.98592,281086.4338
2920004,68796.64711,281350.7411
2920067,65307.94599,277526.318
2920083,66554.19477,278780.3235
3020032,63819.52867,277141.934
3020050,64381.7852,277079.5232
3020062,64517.30115,276916.0586
3121040,84443.15807,294801.3966
3221058,59139.22267,273503.9793
3226033,52297.10909,231368.877
3323004,65837.67752,252175.0221
3323047,74499.1973,263038.663
3323050,73480.44211,262739.5756
3323054,70655.92689,253549.5553
3323061,66007.40083,251463.249
3424035,60466.24806,220269.3203
3424050,91720.58429,241403.8032
3425037,50271.59713,193744.6057
3522022,86174.86064,283027.0172
3522038,75989.37315,284325.5424
3622005,67270.77578,269749.922
3622065,68703.42176,271338.4899
3622067,67587.20936,270144.2083
3727018,12260.41372,230134.9312
3828039,20188.07398,254084.4241
3930002,13614.45501,217484.5949
3930021,3202.309417,220347.6167
4032040,9099.338475,182619.1153
4033019,1824.385814,168565.9442
4033023,15996.27701,169614.6345
4033030,15809.46143,180779.0373
4132017,13393.03124,191385.9833
4132019,14660.98628,191077.3618
4132020,14424.75028,190509.8434
4132061,14243.50143,189970.4078
4132081,15158.77617,192518.5881
4132084,14480.33153,190599.9554
4232048,6568.156469,187967.4499
4232099,1357.068869,174214.7738
4335021,18393.94136,150087.6151
4335028,10480.34686,159553.2574
4335042,18989.7644,154404.7498
4335048,16106.97648,155650.8035
4437020,72431.84966,134107.4874
4437023,68865.30443,139475.4512
4536004,40969.96448,147910.7459
4536007,41511.05335,147567.1041
4536018,56118.6465,148200.6891
4539002,75867.09214,161610.0663
4539023,73271.94063,160211.9982
4640002,83450.05926,186564.7496
4640010,73827.1879,172537.5542
4640040,105335.0114,189845.489
4640067,83804.21611,186995.3572
4641005,84773.0623,206669.5809
4641008,95641.51931,193945.8166
4759001,73314.79282,79532.14885
4759004,72996.19592,76546.34251
4759005,72913.52,76150.93142
4759018,71557.85268,76081.04439
4759026,73134.08713,74311.63395
4759106,75223.62138,75697.19516
4859047,75223.30068,72601.79496
4859120,74079.57847,74307.9215
4959061,76002.93136,72763.72127
4959082,77876.21732,71195.04155
4959091,76846.78359,73592.08239
4959096,76117.6513,74577.12457
4959099,75632.15806,74086.71662
5049004,47714.17935,97553.41467
5049021,61173.05691,88356.29241
5057007,49308.83754,91311.28974
5057031,47187.28015,92352.25029
5148020,15612.18879,134234.002
5148026,41091.18234,122545.168
5148035,41014.30967,119538.4648
5148037,22770.13986,132015.7836
5152014,61534.31247,96235.8265
5152018,66638.16172,99837.26182
5152026,70621.69114,90351.09835
5251018,49868.95,105652.38
5251043,50033.12503,105390.4442
5251049,42028.91574,108129.6251
5350041,12961.57268,126766.5336
5453008,78256.80412,86322.16017
5455001,96090.6019,51612.36437
5455003,95495.85029,52477.44075
5554004,105491.761,61000.77384
5554013,104098.6071,61869.61444
5656003,25218.96019,116682.2782
5656023,28464.44636,111685.2514
5758001,81369.41448,63215.59293
5758019,87259.48823,65036.28714
5843010,24167.14482,115694.4617
5843017,11487.48827,124481.4614
5845018,61706.56623,80533.32398
5846003,67337.54574,73075.37886
5846005,69423.97822,69600.4757
5960026,130581.4666,63740.54575
5960031,136421.2413,68817.33414
5960034,133271.8361,62263.82799
5960035,144090.3873,58399.8917
6061021,138740.5659,50128.35492
6062003,111171.6482,76742.56954
6170008,158646.8722,31962.38868
6170015,160012.7049,30244.91406
6170028,159355.6825,31770.89333
6364003,125593.3399,38025.19297
6364005,124930.4332,38294.30313
6466006,136795.3397,24368.52218
6466015,131107.0842,24322.63029
6466025,146717.8609,15146.37917
6466028,138830.8397,26079.57739
6467098,150057.0449,8240.297578
6567028,142568.5951,5961.370408
6567080,141556.1187,8376.635393
6567083,140022.7867,7485.169737
6567088,141811.5804,5608.627226
6567090,129895.7075,5402.310801
6667043,157769.2597,2894.154501
6667104,129895.7075,5402.310801
6768011,127727.3564,7167.476652
6769008,126210.7137,19309.02881
6769025,116597.1827,17821.0124
6879036,173253.8954,85905.26107
6879039,172765.8114,85682.79423
6879043,169724.205,83885.44778
6879098,169341.9329,83777.18561
6881041,162015.7028,80113.73614
6979013,174438.3416,85518.46044
6979026,174854.908,86698.67183
6979055,175061.0453,86593.45907
6979062,174894.0069,86464.82098
6979063,175027.1517,85812.48179
7079047,176200.5689,86702.48264
7079068,176064.0696,86054.8949
7079069,176305.9503,87102.83469
7079079,176996.3658,89069.59416
7079092,182274.602,93948.73329
7181005,156617.623,68861.16928
7181030,144388.6172,69413.23985
7181045,144581.8133,74120.36765
7181055,152391.7109,74055.82884
7283001,174319.8102,91995.63342
7283016,165178.0833,86762.25588
7283029,178755.2563,93835.11789
7380013,147629.6572,94321.99034
7384025,113636.0985,114187.9809